difficulty_result,seq_length_train,batch_train,num_layers_train,onset_weight_train,maxpool_timescale_train,precision_micro,recall_micro,f1_micro,precision_chart,recall_chart,f1_chart,difficulty_mode
easy,20480,32,2,64,4096,0.9156050955414010,0.8709219858156030,0.8627156789197300,0.9177098322729240,0.8721263500784680,0.8599763684397620,beginner
hard,20480,32,2,64,4096,0.9117647058823530,0.785646836638338,0.7844660194174760,0.914079423296481,0.7867751947512380,0.7862210823144480,intermediate
expert,20480,32,2,64,4096,0.8691943127962090,0.8090379008746360,0.774401144082946,0.8755726052146140,0.8069612186221810,0.776113029892308,advanced
expertplus,20480,32,2,64,4096,0.8505747126436780,0.8094059405940600,0.8080301129234630,0.8691239316239320,0.8117566728739910,0.8096846271705820,expert
all_diff,20480,32,2,64,4096,0.8872017353579180,0.8081920903954800,0.7962569119523610,0.8986095240905400,0.8173868011727480,0.8063693640004370,all_diff
easy,20480,32,2,64,768,0.901386748844376,0.8865248226950350,0.8641063515509600,0.9046208250332280,0.8877233385979620,0.8626958775478450,beginner
hard,20480,32,2,64,768,0.8849009900990100,0.7828139754485360,0.7916883116883120,0.8888383474616850,0.7838137627177910,0.7904876660860510,intermediate
expert,20480,32,2,64,768,0.8531598513011150,0.8185131195335280,0.7816003092385000,0.8640635599979880,0.8168018915254800,0.7820290043304010,advanced
expertplus,20480,32,2,64,768,0.8753894080996890,0.7945544554455450,0.7928843710292250,0.8845328691709840,0.7944258224705150,0.7957647027768980,expert
all_diff,20480,32,2,64,768,0.8676781933662670,0.8177966101694920,0.8007889546351090,0.880445959066908,0.8262181364995380,0.8094527936419410,all_diff
easy,20480,32,2,64,8896,0.8925869894099850,0.8780141843971630,0.8638360175695460,0.8944531487364590,0.8788186622638230,0.8623218631851860,beginner
hard,20480,32,2,64,8896,0.8857589984350550,0.7875354107648730,0.7860798362333670,0.8853512038464570,0.7887389947354490,0.7855227147379140,intermediate
expert,20480,32,2,64,8896,0.8555431131019040,0.8068513119533530,0.7761996161228410,0.8529643401751680,0.8057417782065080,0.7760994217366060,advanced
expertplus,20480,32,2,64,8896,0.8538961038961040,0.7599009900990100,0.7911802853437090,0.8720217679608540,0.7605214152700190,0.7935052091095070,expert
all_diff,20480,32,2,64,8896,0.867324069923801,0.809322033898305,0.7931294259454570,0.8731845929985550,0.8200142361337120,0.8034448711961590,all_diff
easy,20480,32,2,64,128,0.9238410596026490,0.8950354609929080,0.8674351585014410,0.9265541669221300,0.8960267529217080,0.8666448858020460,beginner
hard,20480,32,2,64,128,0.8883495145631070,0.7960339943342780,0.7852004110996920,0.8956123725242580,0.7962690865131920,0.7855713245436780,intermediate
expert,20480,32,2,64,128,0.8511957484499560,0.8061224489795920,0.7852760736196320,0.8572597767479210,0.8067000519807820,0.785606355551597,advanced
expertplus,20480,32,2,64,128,0.8715277777777780,0.7896039603960400,0.7926509186351710,0.8842592592592590,0.7876970825574180,0.794010794010794,expert
all_diff,20480,32,2,64,128,0.8794376098418280,0.8053672316384180,0.7997155049786630,0.8925869275144250,0.8202385056121220,0.8099004940473090,all_diff
easy,20480,32,2,64,384,0.9173553719008260,0.8723404255319150,0.8618468146027200,0.9203046889712520,0.8733574212785550,0.8600000524090950,beginner
hard,20480,32,2,64,384,0.8957816377171220,0.7677053824362610,0.7844782380702670,0.9028125544532200,0.7678860530926160,0.7831543087878530,intermediate
expert,20480,32,2,64,384,0.8555347091932460,0.8010204081632650,0.7759273277819830,0.862771370828289,0.8000199701122400,0.7731688325221190,advanced
expertplus,20480,32,2,64,384,0.8576388888888890,0.7722772277227720,0.7918781725888330,0.8779983457402810,0.7767101179391680,0.7936316237151890,expert
all_diff,20480,32,2,64,384,0.8810126582278480,0.8002824858757060,0.7935712179298140,0.8942150885627550,0.8100704936884650,0.8015620704519380,all_diff
easy,20480,32,2,64,7360,0.924914675767918,0.8765957446808510,0.8613240418118470,0.9290586008239290,0.8771915247412560,0.859398461079311,beginner
hard,20480,32,2,64,7360,0.9179206566347470,0.7724268177525970,0.7836490528414760,0.9234131275445260,0.7714580750395440,0.7823522000228760,intermediate
expert,20480,32,2,64,7360,0.8977149075081610,0.8097667638483970,0.7794759825327510,0.9059178946672140,0.8083741979229960,0.7796143076809180,advanced
expertplus,20480,32,2,64,7360,0.876984126984127,0.7846534653465350,0.798469387755102,0.889125583282613,0.7878212290502790,0.8034711181770010,expert
all_diff,20480,32,2,64,7360,0.9079581993569130,0.7966101694915250,0.7915364953138310,0.91756710615381,0.8041516822437990,0.80112097798937,all_diff
easy,20480,32,2,64,4736,0.9262295081967210,0.8893617021276600,0.8605633802816900,0.9297224047887280,0.889919328594733,0.8596426542900000,beginner
hard,20480,32,2,64,4736,0.8783943329397880,0.777148253068933,0.7852450732693280,0.8865658248607410,0.7770565951507600,0.7833975840965240,intermediate
expert,20480,32,2,64,4736,0.844582593250444,0.8104956268221580,0.783072817384674,0.8548752119257540,0.8079418553793320,0.7805775563993700,advanced
expertplus,20480,32,2,64,4736,0.8356940509915010,0.7747524752475250,0.7984595635430040,0.852521488758098,0.7737926753569210,0.7994668286427750,expert
all_diff,20480,32,2,64,4736,0.8542007191892780,0.8121468926553670,0.7966000596480760,0.8762656448534560,0.8217738481863150,0.8043706355353070,all_diff
easy,20480,32,2,64,128,0.8987538940809970,0.8921985815602840,0.8569482288828340,0.9024109742826560,0.8937401489854870,0.8562178634199200,beginner
hard,20480,32,2,64,128,0.8588888888888890,0.8016997167138810,0.7891781521184280,0.8657665334985830,0.8025508668965040,0.7890104218440210,intermediate
expert,20480,32,2,64,128,0.8111824014665440,0.827259475218659,0.7805049088359050,0.8162276507211400,0.8259746359787740,0.7813724103266910,advanced
expertplus,20480,32,2,64,128,0.8459302325581400,0.806930693069307,0.7881040892193310,0.8588323118026090,0.8089633767846060,0.7900657088762670,expert
all_diff,20480,32,2,64,128,0.8448876226654000,0.8265536723163840,0.7968353485594870,0.8609573193149070,0.832819920340663,0.8054991588015710,all_diff
easy,20480,32,2,64,4288,0.9337016574585640,0.8865248226950350,0.8563092633114520,0.9397201187167480,0.8873538262376820,0.8552299934869760,beginner
hard,20480,32,2,64,4288,0.9056372549019610,0.7884796978281400,0.7973986993496750,0.9112360187602320,0.7884357085837510,0.7973535430472250,intermediate
expert,20480,32,2,64,4288,0.8663967611336030,0.8206997084548110,0.7833270747277510,0.8785507298555590,0.8178614062228440,0.7842042441427330,advanced
expertplus,20480,32,2,64,4288,0.8581081081081080,0.7821782178217820,0.7949685534591200,0.8757142857142860,0.7827436374922410,0.7972694620029100,expert
all_diff,20480,32,2,64,4288,0.8822152886115440,0.8192090395480230,0.8021185817272330,0.9018710910390520,0.8279453107585220,0.8104566685826210,all_diff
easy,20480,32,2,64,576,0.933993399339934,0.8808510638297870,0.8619014573213050,0.931407879349056,0.881839389080989,0.8618691475831140,beginner
hard,20480,32,2,64,576,0.9623430962343100,0.7884796978281400,0.7840327533265100,0.9608172859051910,0.7891661354944520,0.7825942047020940,intermediate
expert,20480,32,2,64,576,0.9309791332263240,0.8287172011661810,0.7825167430384210,0.92963284521078,0.8286838667081360,0.7837016139284600,advanced
expertplus,20480,32,2,64,576,0.8756756756756760,0.7846534653465350,0.7984886649874060,0.8896407791550720,0.7838237119801370,0.7999263056505470,expert
all_diff,20480,32,2,64,576,0.934550031466331,0.8189265536723160,0.7951369480156510,0.9374331769675130,0.8283642941802150,0.8042052173729710,all_diff
easy,20480,32,2,64,1408,0.9109697933227340,0.8624113475177310,0.86608442503639,0.9127351116549320,0.8634712481028430,0.8646080967044030,beginner
hard,20480,32,2,64,1408,0.8995568685376660,0.7809254013220020,0.7890743550834600,0.8994572372814990,0.7823433672644510,0.788350053033892,intermediate
expert,20480,32,2,64,1408,0.8600212089077410,0.7966472303207000,0.7838638045891930,0.8606756001459080,0.794360703564317,0.7808316652507560,advanced
expertplus,20480,32,2,64,1408,0.8461538461538460,0.7673267326732670,0.7923076923076920,0.8700523000118860,0.7694723774053380,0.7938693207779570,expert
all_diff,20480,32,2,64,1408,0.876942461150777,0.7988700564971750,0.7999405469678950,0.8857102006177330,0.8071762392865840,0.8084310545501,all_diff
easy,20480,32,2,64,1088,0.9099378881987580,0.8652482269503550,0.8687916975537440,0.9106253578691130,0.8661377458989830,0.8667330024711330,beginner
hard,20480,32,2,64,1088,0.8870558375634520,0.7922568460812090,0.7901606425702810,0.8980106983426840,0.7945155582366440,0.7909965071724010,intermediate
expert,20480,32,2,64,1088,0.8550863723608450,0.8083090379008750,0.7786546411123640,0.8599998513194450,0.8077652971199140,0.7787636641026000,advanced
expertplus,20480,32,2,64,1088,0.8661710037174720,0.7747524752475250,0.7892030848329050,0.8850500977517110,0.7783612662942270,0.7923851732473810,expert
all_diff,20480,32,2,64,1088,0.8755555555555560,0.8076271186440680,0.7962364010585120,0.8874952060549590,0.8163939260754390,0.8050331558608360,all_diff
easy,20480,32,2,64,6272,0.8849028400597910,0.8808510638297870,0.8617176128093160,0.88895906228006,0.8812978289467680,0.8603558516064490,beginner
hard,20480,32,2,64,6272,0.9002976190476190,0.7998111425873470,0.7733080927591100,0.9009562374606550,0.8011026176664550,0.7757250171862980,intermediate
expert,20480,32,2,64,6272,0.8768699654775610,0.8381924198250730,0.7815587266739850,0.8779572043311770,0.8384546215063030,0.7818355850734030,advanced
expertplus,20480,32,2,64,6272,0.8588709677419360,0.7797029702970300,0.802547770700637,0.8810651737008330,0.7810924891371820,0.8047760210803690,expert
all_diff,20480,32,2,64,6272,0.8828867761452030,0.8285310734463280,0.7920484985196670,0.8884327425567760,0.8363356445415420,0.8015167978958060,all_diff
easy,20480,32,2,64,64,0.9089430894308940,0.8794326241134750,0.8613569321533920,0.909494300929827,0.8797334878227010,0.859691708612616,beginner
hard,20480,32,2,64,64,0.867141162514828,0.7865911237016050,0.7845303867403320,0.8709495822737020,0.7872156772285870,0.7836709635408430,intermediate
expert,20480,32,2,64,64,0.8301724137931040,0.8345481049562680,0.77697320782042,0.8337117468704100,0.8332271042200660,0.7769345935536710,advanced
expertplus,20480,32,2,64,64,0.8540372670807450,0.7896039603960400,0.7896039603960400,0.857109557109557,0.7899813780260710,0.791566985645933,expert
all_diff,20480,32,2,64,64,0.8560734943858460,0.8214689265536720,0.7955686853766620,0.8663716859134730,0.8268978237747920,0.8046963750142090,all_diff
easy,20480,32,2,64,1344,0.9162640901771340,0.8794326241134750,0.8610511159107270,0.9195585376213970,0.8804453012157000,0.8601975001954390,beginner
hard,20480,32,2,64,1344,0.8720657276995310,0.7865911237016050,0.7806801379990140,0.8797735595444470,0.7864970912138920,0.7807649237792980,intermediate
expert,20480,32,2,64,1344,0.8394618834080720,0.8206997084548110,0.779635823114084,0.8443837383363130,0.8199207441053520,0.777896452888711,advanced
expertplus,20480,32,2,64,1344,0.8710691823899370,0.7945544554455450,0.8040455120101140,0.8842466992222830,0.7972811918063310,0.8058568752926490,expert
all_diff,20480,32,2,64,1344,0.8614457831325300,0.8192090395480230,0.7935766423357660,0.8782771629663780,0.8269748046550650,0.802901493408118,all_diff
easy,20480,32,2,64,1088,0.9411764705882350,0.8695035460992910,0.8634739099356680,0.9357411477411480,0.8700900887796290,0.8613079316745340,beginner
hard,20480,32,2,64,1088,0.962059620596206,0.7941454202077430,0.7891781521184280,0.9592948916408670,0.7954443523556490,0.7886894575766880,intermediate
expert,20480,32,2,64,1088,0.889967637540453,0.8469387755102040,0.7818317200297840,0.8886553482290580,0.84526015542891,0.7813684031104450,advanced
expertplus,20480,32,2,64,1088,0.8557213930348260,0.7896039603960400,0.7939698492462310,0.8692849404117010,0.791185599006828,0.7958488148622680,expert
all_diff,20480,32,2,64,1088,0.9108983799705450,0.8285310734463280,0.7985823981098640,0.9242338674041910,0.8333861302994110,0.8068271065335350,all_diff
easy,20480,32,2,64,384,0.9216666666666670,0.8765957446808510,0.8615384615384620,0.9259872952352320,0.8768022835297260,0.8621057180634490,beginner
hard,20480,32,2,64,384,0.8848484848484850,0.7828139754485360,0.784746613146011,0.8881957035032170,0.7837789248521310,0.7847461841219800,intermediate
expert,20480,32,2,64,384,0.8291413703382480,0.8185131195335280,0.7749627421758570,0.8350815041657170,0.8179962430081880,0.7749923565752210,advanced
expertplus,20480,32,2,64,384,0.8396501457725950,0.801980198019802,0.805,0.8520176186416600,0.8056610800744880,0.8070482126117910,expert
all_diff,20480,32,2,64,384,0.8580183861082740,0.8132768361581920,0.7942206654991240,0.8721374210617440,0.8205187812416900,0.8043795077082090,all_diff
easy,20480,32,2,64,320,0.9156050955414010,0.8964539007092200,0.8627156789197300,0.9190614774602390,0.89830616733092,0.8622927719083770,beginner
hard,20480,32,2,64,320,0.9107142857142860,0.7865911237016050,0.7814258911819890,0.909354949711822,0.7882729591700120,0.7842097864302540,intermediate
expert,20480,32,2,64,320,0.8841099163679810,0.8294460641399420,0.7824282255274990,0.8807714191538430,0.8299200609831140,0.7852659292141810,advanced
expertplus,20480,32,2,64,320,0.8468085106382980,0.7945544554455450,0.7903430749682340,0.8628663003663000,0.7949968963376780,0.7902424600827910,expert
all_diff,20480,32,2,64,320,0.886801315171442,0.8197740112994350,0.7981298129812980,0.889499048488827,0.8318475690239990,0.8089236930842350,all_diff
easy,20480,32,2,64,2048,0.908385093167702,0.8836879432624110,0.8673091178650850,0.9107493945653740,0.8851512412066770,0.8667066820359690,beginner
hard,20480,32,2,64,2048,0.8989113530326600,0.7884796978281400,0.78199291856348,0.8977672190771430,0.7882917264083180,0.7801669280455520,intermediate
expert,20480,32,2,64,2048,0.852808988764045,0.827259475218659,0.7794949114210330,0.8527142721109990,0.8268880390241870,0.7788149745697060,advanced
expertplus,20480,32,2,64,2048,0.84,0.7871287128712870,0.7933673469387760,0.8572700499965760,0.7889633767846060,0.7976180971390550,expert
all_diff,20480,32,2,64,2048,0.8731077471059660,0.822316384180791,0.7946587537091990,0.8804850739113950,0.8304605536118210,0.8027481979574190,all_diff
easy,20480,32,2,64,6272,0.9161290322580640,0.8836879432624110,0.8691176470588240,0.9195947462262930,0.8846426378898590,0.866997798327408,beginner
hard,20480,32,2,64,6272,0.94141689373297,0.789423984891407,0.785,0.9426383684264320,0.790031554747525,0.7869994917012340,intermediate
expert,20480,32,2,64,6272,0.9135667396061270,0.8367346938775510,0.7703498441288530,0.9184631872820570,0.8352769031980700,0.7710793999226940,advanced
expertplus,20480,32,2,64,6272,0.9,0.8044554455445550,0.80545229244114,0.9105779278193070,0.8044568590937310,0.806610425428361,expert
all_diff,20480,32,2,64,6272,0.9198884017536870,0.826271186440678,0.7910159155139080,0.9248146555310760,0.8334518962195290,0.8021357402551970,all_diff
easy,20480,32,2,64,640,0.954054054054054,0.8836879432624110,0.8653421633554080,0.954950592180868,0.8847356597119640,0.8629431326791170,beginner
hard,20480,32,2,64,640,0.953789279112754,0.8026440037771480,0.7820383451059540,0.9534016614739610,0.8040016167619600,0.7818568638250780,intermediate
expert,20480,32,2,64,640,0.8923476005188070,0.8403790087463560,0.7797619047619050,0.8959645356409410,0.8399628565189120,0.7808005594158280,advanced
expertplus,20480,32,2,64,640,0.8778625954198470,0.8118811881188120,0.799492385786802,0.890920716112532,0.8156921166977030,0.7992744067652060,expert
all_diff,20480,32,2,64,640,0.9168817759421790,0.830225988700565,0.7960390186225240,0.9312866505958150,0.8377371348566300,0.8051526087130650,all_diff
easy,20480,32,2,64,192,0.9302949061662200,0.8695035460992910,0.8592592592592590,0.9320427657330080,0.8713304196124340,0.8578131704988210,beginner
hard,20480,32,2,64,192,0.9596153846153850,0.7818696883852690,0.7871690427698570,0.9570924585595060,0.7833297995656530,0.787165803658646,intermediate
expert,20480,32,2,64,192,0.9121338912133890,0.8112244897959180,0.7848575712143930,0.9135316223453390,0.8100320833844650,0.785660292472702,advanced
expertplus,20480,32,2,64,192,0.8803827751196170,0.7871287128712870,0.7973856209150330,0.8963972736124640,0.7906145251396650,0.7988677367176810,expert
all_diff,20480,32,2,64,192,0.925783397471138,0.8050847457627120,0.7994060876020790,0.9318582191751080,0.8135285616092780,0.8080429434547220,all_diff
easy,20480,32,2,64,320,0.981132075471698,0.8808510638297870,0.8609467455621300,0.9849282296650720,0.8815739185564360,0.8599061288975500,beginner
hard,20480,32,2,64,320,0.989547038327526,0.7837582625118040,0.7787429739397040,0.9860331825037710,0.784149251024391,0.7781107228994540,intermediate
expert,20480,32,2,64,320,0.9765625,0.8046647230320700,0.7788778877887790,0.9734984112221960,0.8031362409270290,0.7776622369487110,advanced
expertplus,20480,32,2,64,320,0.912,0.7747524752475250,0.7874213836477990,0.9220588235294120,0.7772191185599010,0.7897145347570280,expert
all_diff,20480,32,2,64,320,0.9727748691099480,0.8019774011299440,0.7953508900985730,0.977772371280288,0.8108999191128120,0.8037336909844160,all_diff
easy,20480,32,2,64,128,0.9042386185243330,0.8638297872340430,0.8630338733431520,0.9061689841607030,0.8644753642901950,0.8605980312120370,beginner
hard,20480,32,2,64,128,0.8781664656212300,0.7677053824362610,0.7781672508763140,0.8876168633645830,0.7678541139246910,0.7777482432683210,intermediate
expert,20480,32,2,64,128,0.8251082251082250,0.8112244897959180,0.7788208787082240,0.8351118122697030,0.8114018127018900,0.7765142068759540,advanced
expertplus,20480,32,2,64,128,0.85,0.7995049504950500,0.789873417721519,0.8637459366667880,0.79715704531347,0.7919048932193520,expert
all_diff,20480,32,2,64,128,0.8540961408259990,0.8031073446327680,0.795326826382727,0.8708147032944640,0.8068807362315350,0.8032326101012670,all_diff
easy,20480,32,2,64,5184,0.91220556745182,0.8936170212765960,0.865934065934066,0.915835318678625,0.8942114296472740,0.8648919309531710,beginner
hard,20480,32,2,64,5184,0.933115823817292,0.8064211520302170,0.7765908035299580,0.930467080064412,0.8066854818705060,0.7787176202619600,intermediate
expert,20480,32,2,64,5184,0.8886198547215500,0.8287172011661810,0.7819807427785420,0.8882168960206130,0.8273484071547070,0.7831140289987290,advanced
expertplus,20480,32,2,64,5184,0.852,0.7772277227722770,0.8020434227330780,0.8673611111111110,0.7788702669149600,0.805562558883242,expert
all_diff,20480,32,2,64,5184,0.9021335807050090,0.8257062146892660,0.7951403435274400,0.9087473490580850,0.8366967738169960,0.8035463721798590,all_diff
easy,20480,32,2,64,64,0.9335664335664340,0.8567375886524820,0.8579545454545450,0.9376681531495200,0.8566292621573260,0.8569175475810160,beginner
hard,20480,32,2,64,64,0.9017632241813600,0.785646836638338,0.7812206572769950,0.9067920815406270,0.7864651664647500,0.7822844152469920,intermediate
expert,20480,32,2,64,64,0.852996254681648,0.7951895043731780,0.7759601706970130,0.8602264084243870,0.795202154065975,0.7770951906299480,advanced
expertplus,20480,32,2,64,64,0.8556338028169010,0.7673267326732670,0.7908163265306120,0.8748913043478260,0.7706145251396650,0.7918918918918920,expert
all_diff,20480,32,2,64,64,0.8790293371966680,0.7977401129943500,0.794933145672062,0.8927523784743450,0.8079290414941130,0.804357566337964,all_diff
easy,20480,32,2,64,64,0.9381818181818180,0.8680851063829790,0.8619718309859160,0.9422910469831780,0.8686444029782080,0.8611799614397320,beginner
hard,20480,32,2,64,64,0.9434931506849320,0.7714825306893300,0.7816439737771050,0.9438109371619500,0.7719878567874010,0.7807182689672690,intermediate
expert,20480,32,2,64,64,0.9134253450439150,0.8170553935860060,0.7752420470262790,0.9155522367555420,0.8167800791481500,0.7774459285310440,advanced
expertplus,20480,32,2,64,64,0.8647540983606560,0.7896039603960400,0.7794486215538850,0.8830924420355320,0.788268156424581,0.7789214616522390,expert
all_diff,20480,32,2,64,64,0.9188532555879500,0.8081920903954800,0.7914294276296070,0.9253751247194600,0.8156686991756030,0.8018944569071110,all_diff
easy,20480,32,2,64,64,0.8944954128440370,0.8794326241134750,0.8609271523178810,0.8965768113657000,0.8804030077006370,0.8593542648462290,beginner
hard,20480,32,2,64,64,0.8792341678939620,0.7969782813975450,0.7825656265477960,0.8801545091692180,0.7980269755855090,0.781237085326178,intermediate
expert,20480,32,2,64,64,0.8591859185918590,0.8330903790087460,0.7832957110609480,0.8565312666920170,0.832556333134655,0.7836662020408570,advanced
expertplus,20480,32,2,64,64,0.8389057750759880,0.7920792079207920,0.7990012484394510,0.8641067538126360,0.7916325263811300,0.8006131853901920,expert
all_diff,20480,32,2,64,64,0.8689154568744660,0.8231638418079100,0.7943952802359880,0.8760646358965660,0.8319977800577890,0.8028848908186580,all_diff
easy,20480,32,2,64,2496,0.9086460032626430,0.8808510638297870,0.8634361233480180,0.9124461508247930,0.8822359296794760,0.8630325024432500,beginner
hard,20480,32,2,64,2496,0.9289544235924930,0.789423984891407,0.790135883241067,0.929215984979523,0.7899582697473790,0.7887318145206190,intermediate
expert,20480,32,2,64,2496,0.876629889669007,0.8411078717201170,0.7825167430384210,0.8830210585547440,0.8403580694210730,0.7813454608472020,advanced
expertplus,20480,32,2,64,2496,0.840782122905028,0.8143564356435640,0.8084577114427860,0.860972360972361,0.8173432650527620,0.8105389806929480,expert
all_diff,20480,32,2,64,2496,0.8945371775417300,0.8285310734463280,0.800705467372134,0.9050485075324570,0.8341412032392090,0.8093886022778180,all_diff
easy,20480,32,2,64,64,0.9105431309904150,0.8567375886524820,0.8644314868804660,0.913337667961008,0.8581647458864440,0.8632905929996080,beginner
hard,20480,32,2,64,64,0.9083969465648860,0.76109537299339,0.7772609819121450,0.913643547608878,0.7619407880447690,0.7772199244652530,intermediate
expert,20480,32,2,64,64,0.8887665198237890,0.8104956268221580,0.7760736196319020,0.891872932905598,0.8094870705781390,0.7765414444037600,advanced
expertplus,20480,32,2,64,64,0.8617363344051450,0.7846534653465350,0.7923566878980890,0.8778758272927830,0.7872501551831160,0.794027959288741,expert
all_diff,20480,32,2,64,64,0.894759825327511,0.7991525423728810,0.7935483870967740,0.9045091606043880,0.806278899479927,0.8032989757470260,all_diff
easy,20480,32,2,64,128,0.930390492359932,0.8609929078014190,0.8550074738415550,0.9315641880901630,0.8619675373305130,0.85342393901172,beginner
hard,20480,32,2,64,128,0.9345156889495220,0.7667610953729930,0.781799379524302,0.9374603152703860,0.7673672303839080,0.7796365180142460,intermediate
expert,20480,32,2,64,128,0.8788480635551140,0.8104956268221580,0.7792571829011910,0.8869083126761240,0.8090944958914220,0.7803694772495520,advanced
expertplus,20480,32,2,64,128,0.851963746223565,0.7945544554455450,0.7919293820933170,0.8654336734693880,0.7989944134078210,0.7955129369631230,expert
all_diff,20480,32,2,64,128,0.9011406844106460,0.8016949152542370,0.7907495123989970,0.9137741129592590,0.8083784317367030,0.798690582527944,all_diff
easy,20480,32,2,64,4544,0.9154471544715450,0.8780141843971630,0.8607407407407410,0.9181151445370980,0.8791239607254780,0.8593989429892270,beginner
hard,20480,32,2,64,4544,0.871824480369515,0.7780925401322000,0.7844155844155850,0.8804140626703020,0.7783855985515440,0.7853026217001410,intermediate
expert,20480,32,2,64,4544,0.8352713178294570,0.8199708454810500,0.780858336498291,0.8356431511889100,0.8188812071757370,0.7801441288059330,advanced
expertplus,20480,32,2,64,4544,0.8533724340175950,0.7970297029702970,0.8029925187032420,0.8682788051209100,0.7972191185599010,0.8048856082025590,expert
all_diff,20480,32,2,64,4544,0.8577515568666010,0.8050847457627120,0.7980266108536400,0.875206010131633,0.8158149754284550,0.8065971462155640,all_diff
easy,20480,32,2,64,512,0.91846921797005,0.8680851063829790,0.8643067846607670,0.9237035037830180,0.8690785425599930,0.8626020837655390,beginner
hard,20480,32,2,64,512,0.920656634746922,0.7667610953729930,0.7791411042944790,0.924503836140086,0.7677878000511960,0.7774444534919070,intermediate
expert,20480,32,2,64,512,0.8991389913899140,0.8112244897959180,0.7709750566893420,0.9032318068453180,0.8093484298199470,0.7715382387258220,advanced
expertplus,20480,32,2,64,512,0.8647540983606560,0.7920792079207920,0.7902813299232740,0.8887600089800190,0.7962011173184360,0.7914066931366990,expert
all_diff,20480,32,2,64,512,0.9028097650852140,0.8036723163841810,0.7908595641646490,0.9134782164698310,0.8105959924791850,0.8009815098770500,all_diff
easy,20480,32,2,64,9536,0.9061032863849760,0.8808510638297870,0.8616071428571430,0.9089260862121770,0.8810442109059560,0.8590889548451270,beginner
hard,20480,32,2,64,9536,0.9225721784776900,0.7828139754485360,0.7746759720837490,0.9259093573942530,0.7835142294435150,0.7767900845763550,intermediate
expert,20480,32,2,64,9536,0.8925184404636460,0.8221574344023320,0.7739801543550170,0.901908284010156,0.8207140477385150,0.7763711325721610,advanced
expertplus,20480,32,2,64,9536,0.868,0.7920792079207920,0.7974842767295600,0.8877665544332210,0.7933457479826200,0.7994966334951140,expert
all_diff,20480,32,2,64,9536,0.9011158137745290,0.8155367231638420,0.7909077662829670,0.9098931889555080,0.8243827549483520,0.802086716339005,all_diff
